trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,stop_note
754C.1452.111.2.A.8.89849426,17:11:30,17:12:00,2210322,19,,0,0,25676.41,1,
754C.1452.111.2.A.8.89849426,17:14:00,17:14:30,2211142,20,,0,0,27538.14,1,
754C.1452.111.2.A.8.89849426,17:17:00,17:17:00,2212163,21,,1,0,29133.58,1,
0199-001-151-004:1000,08:00:00,08:00:00,2155269,1,,0,1,0.00,1,2K
0199-001-151-004:1000,08:02:00,08:02:30,2155267,2,,0,0,1916.13,1,
0199-001-151-004:1000,08:04:49,08:05:19,2155265,3,,0,0,4534.49,1,
0199-001-151-004:1000,08:07:19,08:07:49,2153402,4,,0,0,6619.64,1,
0199-001-151-004:1000,08:09:56,08:10:26,2153404,5,,0,0,8877.84,1,
0199-001-151-004:1000,08:12:36,08:13:06,2154264,6,,0,0,11239.70,1,
0199-001-151-004:1000,08:15:07,08:15:37,2154262,7,,0,0,13290.87,1,
0199-001-151-004:1000,08:17:52,08:18:22,2126159,8,,0,0,15782.40,1,
0199-001-151-004:1000,08:23:25,08:24:10,2121225,9,,0,0,22069.83,1,
0199-001-151-004:1000,08:27:21,08:27:51,2113351,10,,0,0,26073.83,1,7f
0199-001-151-004:1000,08:29:24,08:29:54,2113341,11,,0,0,27311.21,1,
0199-001-151-004:1000,08:31:32,08:32:02,2113361,12,,0,0,28726.03,1,
0199-001-151-004:1000,08:37:07,08:37:52,2067142,13,,0,0,35272.17,1,
0199-001-151-004:1000,08:41:01,08:41:31,2065163,14,,0,0,39126.70,1,
0199-001-151-004:1000,08:43:10,08:43:50,2060115,15,,0,0,40672.44,1,
0199-001-151-004:1000,08:46:20,08:46:50,2000460,16,,0,0,43386.06,1,
0199-001-151-004:1000,08:48:30,08:49:20,2000463,17,,0,0,44800.19,1,
0199-001-151-004:1000,08:50:23,08:50:53,2000464,18,,0,0,45561.60,1,
0199-001-151-004:1000,08:52:19,08:52:59,2000467,19,,0,0,46774.93,1,
0199-001-151-004:1000,08:54:36,08:55:06,2017078,20,,0,0,48439.01,1,
0199-001-151-004:1000,08:58:34,08:58:34,204471,21,,1,0,52545.18,1,6o
